flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category--Frozen Custard,category--Sherbert,category--Sorbet,category--Gelato,category--Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla,allergy_icons--gluten-free,allergy_icons--peanut-free,allergy_icons--dairy-free,allergy_icons--nut-free
Maple Nut,scround,Maple Flavored Ice Cream with Walnuts,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, WALNUTS, CORN SYRUP, WHEY, MAPLE FLAVOR [MAPLE SYRUP, CARAMEL COLOR, SUGAR, WATER, NATURAL AND ARTIFICIAL FLAVOR), STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. CONTAINS: Milk, TREENUTS (WALNUTS).","Milk, Treenuts(Walnuts)",9,2/3  cup (88g),210,,13g,,17%,,7g,,35%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,1g,,0%,,16g,,11g,,0%,,4g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,186mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,,X,,,
Midnight Dark Chocolate,scround,Dark Chocolate Flavored Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, SUGAR, CORN SYRUP, WHEY, COCOA PROCESSED WITH ALKALI, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN]. CONTAINS: Milk.",Milk,9,2/3  cup (88g),190,,10g,,13%,,7g,,35%,,0g,,0%,,25mg,,0%,,55mg,,0%,,24g,,0%,,1g,,0%,,18g,,14g,,0%,,3g,,0%,,0mg,,0%,,96mg,,0%,,1mg,,0%,,269mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,,X,X,,
Mint Chocolate Chip,scround,Green Mint Flavored Ice Cream with Chocolate Chips ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, DARK CHOCOLATE FLAVORED CHUNK [SUGAR, COCONUT OIL, COCOA PROCESSED WITH ALKALI, COCOA POWDER, MilkFAT, Soy LECITHIN (EMULSIFIER), VANILLA EXTRACT, NATURAL FLAVOR], CORN SYRUP, WHEY, NATURAL FLAVOR, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], YELLOW 5 & BLUE 1 (COLOR), SEA SALT. CONTAINS: Milk, Soy.","Milk, Soy",9,2/3  cup (90g),200,,11g,,14%,,8g,,40%,,0g,,0%,,25mg,,0%,,65mg,,0%,,23g,,0%,,1g,,0%,,19g,,14g,,0%,,3g,,0%,,0mg,,0%,,108mg,,0%,,1mg,,0%,,195mg,,0%,,,,x,,,,,,,,,,,,x,,,,,x,,,X,X,,
Natural Vanilla ,scround,Natural Ice Cream Flavored with Vanilla Beans and Pure Vanilla Extract ,"INGREDIENTS: NONFAT Milk, CREAM, SUGAR, PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], VANILLA EXTRACT, STABILIZER [GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA BEAN SEEDS. CONTAINS: Milk, EGGS.","Egg, Milk ",9,2/3  cup (92g),180,,10g,,13%,,7g,,35%,,0g,,0%,,50mg,,0%,,55mg,,0%,,19g,,0%,,0g,,0%,,19g,,14g,,0%,,4g,,0%,,0mg,,0%,,129mg,,0%,,0mg,,0%,,171mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
New York Cherry,scround,New York Flavored Vanilla Ice Cream with Maraschino Cherry Pieces ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, MARASCHINO RED CHERRIES [CHERRIES, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, SUGAR, CITRIC ACID, OIL OF BITTER ALMOND, LOCUST BEAN GUM, RED 40, CARAGEENAN], CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURAL FLAVOR, ANNATTO COLOR, SEA SALT. CONTAINS: Milk.",Milk,9,2/3  cup (92g),190,,9g,,12%,,6g,,30%,,0g,,0%,,25mg,,0%,,65mg,,0%,,24g,,0%,,0g,,0%,,20g,,15g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,161mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Orange Twister,scround,Orange Sherbet Swirled with Vanilla Ice Cream,"INGREDIENTS: ORANGE SHERBET [NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, ORANGE PUREE CONCENTRATE (WATER, ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 {COLOR}), WHEY, CITRIC ACID, , STABILIZER (GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN), YELLOW 6 {COLOR}]. VANILLA ICE CREAM M [NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, STABILIZER (MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR)]. CONTAINS: Milk",Milk,9,2/3  cup (101g),170,,6g,,8%,,4.5g,,23%,,0g,,0%,,20mg,,0%,,50mg,,0%,,27g,,0%,,0g,,0%,,22g,,18g,,0%,,2g,,0%,,0mg,,0%,,84mg,,0%,,0mg,,0%,,129mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Pirates Bounty,scround,M&M's Chocolate Candies and Chocolate Sandwich Cookies in Caramel Flavored Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, CHOCOLATE SANDWICH COOKIE [SUGAR, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 {THIAMINE MONONITRATE}, VITAMIN B2 {RIBOFLAVIN}, FOLICACID). SoyBEANAN AND PALM OIL WITH TBHQ FOR FRESHNESS,COCOAPROCESSED WITH ALKALI, INVERT SUGAR, CONTAINS 2% OR LESS OF DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, CHOCOLATE, SALT, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR, Soy LECITHIN (EMULSIFIER), WHEY], CARAMEL BASE [CORN SYRUP, SUGAR, WATER, BUTTER (CREAM, SALT), CONDENSED SKIM Milk, CARAMEL COLOR, ANNATTO COLOR, NATURAL AND ARTIFICIAL FLAVORING, CARRAGEENAN], Milk CHOCOLATE CANDIES [Milk CHOCOLATE (SUGAR, CHOCOLATE, SKIM Milk, COCOA BUTTER, LACTOSE, MilkFAT, Soy LECITHIN, SALT, ARTIFICIAL AND NATURAL FLAVORS), SUGAR, CORNSTARCH, LESS THAN 1% OF CORN SYRUP, DEXTRIN, COLORING (BLUE 1 LAKE, YELLOW 6, RED 40, YELLOW 5, BLUE 1, YELLOW 6 LAKE, RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, BLUE 2), CARNAUBA WAX, GUM ACACIA], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. CONTAINS: Milk, Soy, WHEAT.","Milk, Soy, Wheat",9,2/3  cup (92g),220,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,100mg,,0%,,27g,,0%,,0g,,0%,,21g,,16g,,0%,,3g,,0%,,0mg,,0%,,106mg,,0%,,0mgm,,0%,,174mg,,0%,,,,x,,,,,,,,,,,x,x,x,,,,,,,,,,
Paintball,scround,Yellow Cake Flavored Ice Cream Blended with Blue and Pink colored Sugar Cookie Dough Pieces ,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, COOKIE DOUGH [UNENRICHED WHEAT FLOUR, SUGAR, PALM OIL, BROWN SUGAR, WATER, POWDERED SUGAR (SUGAR. CORN STARCH), Soy LECITHIN (EMULSIFIER), SALT, BAKING SODA, BLUE 1 LAKE (COLOR), RED 3 (COLOR), NATURAL AND ARTIFICIAL FLAVOR], CORN SYRUP, WHEY, YELLOW 5 (COLOR), STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], NATURALAND ARTIFICIAL FLAVOR, SEA SALT. CONTAINS: Milk, WHEAT, Soy.","Milk, Soy, Wheat",9,2/3  cup (94g),220,,12g,,15%,,8g,,40%,,0g,,0%,,25mg,,0%,,85mg,,0%,,26g,,0%,,0g,,0%,,19g,,14g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,165mg,,0%,,,,x,,,,,,,,,,,,,x,,,,,,,,,,
Praline Pecan ,scround,Butterscotch Fudge Swirled in Vanilla Ice Cream Mixed with Praline Pecans,"INGREDIENTS: Water, 70 - 30 Blend SUGAR, CORN SYRUP,, Milkfat, anhydrous, 7 EXTRA GRADE Contains Milk.	Milk, CARLYN DAIRY PRODUCTS, INCc. NONFAT Milk,,Whey powder WHEY,, ButterMilk Powder BUTTERMilk,, Extreme Frez 2010 STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN],, 7 FLAVOR, VANILLA-VANILLIIN EXTRACT 4-FOLD - SYNERGY 5453 VANILLA EXTRACT, ARTIFICIAL FLAVOR.,Salt, Cargill SEA SALT,.",Milk,9,2/3  cup (95g),190,,11g,,14%,,7g,,35%,,0g,,0%,,30mg,,0%,,75mg,,0%,,22g,,0%,,0g,,0%,,18g,,12g,,0%,,3g,,0%,,0mg,,0%,,120mg,,0%,,0mg,,0%,,184mg,,0%,,,,x,,,,,,,,,,,,,,,,,,x,,X,,,
Raspberry Twister,scround,Raspberry Sherbet Swirled with Vanilla Ice Cream,"INGREDIENTS: RASPBERRY SHERBET [NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, RASPBERRY PUREE (HIGl:-I FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURALANDARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 {COLOR}), WHEY, RED RASPBERRY FLAVOR BASE (RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMELCOLOR,RED40AND BLUE 1 {COLOR}), STABILIZER (GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN), CITRIC ACID). VANILLA ICE CREAM [NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, STABILIZER (MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN), VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR)). CONTAINS: Milk.",Milk,9,2/3  cup (101g),170,,6g,,8%,,4.5g,,23%,,0g,,0%,,20mg,,0%,,50mg,,0%,,27g,,0%,,0g,,0%,,22g,,18g,,0%,,2g,,0%,,0mg,,0%,,84mg,,0%,,0mg,,0%,,128mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Strawberry Cheesecake,scround,Cheesecake Flavored Ice Cream with a Strawberry Swirl,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CHEESECAKE BASE [CORN SYRUP, WATER, NATURAL FLAVOR, DEHYDRATED BAKERS CHEESE (NONFAT Milk SOLIDS, LACTIC ACID, CULTURES), BUTTERMilk POWDER, SUGAR], STRAWBERRY SWIRL [CORN SYRUP, STRAWBERRIES, SUGAR, WATER, MODIFIED CORN STARCH, NATURAL FLAVORS, CITRIC ACID, CELLULOSE GUM,GUARGUM,RED4 ,CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], SEA SALT. CONTAINS: Milk.",Milk,9,2/3  cup (93g),190,,8g,,10%,,6g,,30%,,0g,,0%,,25mg,,0%,,70mg,,0%,,27g,,0%,,0g,,0%,,21g,,16g,,0%,,3g,,0%,,0mg,,0%,,101mg,,0%,,0mg,,0%,,156mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,,X,X,,
Super Madness,scround,"Blue Raspberry, Cherry, and Vanilla Flavored Ice Cream","INGREDIENTS: NONFAT Milk, BUTTERMilk, CREAM, SUGAR, CORN SYRUP, WHEY, RASPBERRY FLAVOR [WATER, CORN STARCH - MODIFIED, NATURALAND ARTIFICIAL FLAVOR, BLUE 1 (COLOR), CITRIC ACID], CHERRY FLAVOR [CHERRY JUICE CONCENTRATE.NATURAL FLAVOR, RED 40 (COLOR)], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5 (COLOR), NATURALAND ARTIFICIAL VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL &ARTIFICIAL FLAVORS, CARAMEL COLOR], COLOR [RED 40 (COLOR), CITRIC ACID, BLUE 1 (COLOR)], SEA SALT. CONTANS: Milk.",Milk,9,2/3  cup (86g),160,,9g,,12%,,6g,,30%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,162mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x,X,X,,
VanElephant Tracks,scround,Pieces of Peanut Butter Cups and Chocolate Fudge Swirled in Vanilla Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMltK, SUGAR, CORN SYRUP, Peanut BUTTER CUPS [Milk CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE LIQUOR, DRY WHOLE Milk, Soy LECITHIN {EMULSIFIER}, VANILLA EXTRACT), Peanut BUTTER, SUGAR, PALM KERNEL OIL, LACTOSE, SALT, Soy LECITHIN {EMULSIFIER}], BUTTER FUDGE E SWIRL [CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, BUTTERMilk, SUGAR, SKIM Milk, CHOCOLATE LIQUOR, WHEY, BUTTER (CREAM, SALT), COCOA PROCESSED WITH ALKALI, COCOA, SALT, PECTIN, MONO & DIGLYCERIDES, SALT, Soy LECITHIN, XANTHAN GUM, DISODIUM PHOSPHATE, NATURAL FLAVOR], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR). CONTAINS: Milk, Soy, PeanutS.","Milk, Peanut, Soy",9,2/3  cup (96g),220,,11g,,14%,,7g,,35%,,0g,,0%,,25mg,,0%,,85mg,,0%,,27g,,0%,,0g,,0%,,22g,,16g,,0%,,3g,,0%,,0mg,,0%,,114mg,,0%,,0mg,,0%,,195mg,,0%,,,,x,,,,,,,,,,,,x,,,,,,,x,X,,,
Vanilla,scround,Vanilla flavored ice cream.,"INGREDIENTS: NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR). CONTAINS: Milk. ",Milk,9,2/3  cup (87g),170,,10g,,13%,,7g,,35%,,0g,,0%,,25mg,,0%,,65mg,,0%,,20g,,0%,,0g,,0%,,16g,,11g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,168mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
Vanilla Custard,scround,Vanilla Custard Flavored Ice Cream,"INGREDIENTS: NONFAT Milk, CREAM, SUGAR, CORN SYRUP, PASTEURIZED SUGARED EGG YOLKS [PASTEURIZED EGG YOLKS, SUGAR], BUTTERMilk, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT, ANNATTO EXTRACT (COLOR). CONTAINS: Milk, EGG","Egg, Milk",9,2/3  cup (97g),200,,11g,,14%,,7g,,35%,,0g,,0%,,65mg,,0%,,75mg,,0%,,22g,,0%,,0g,,0%,,18g,,12g,,0%,,4g,,0%,,0mg,,0%,,130mg,,0%,,0mg,,0%,,185mg,,0%,,,,x,,,,,,,,,,,,,,,,,,,x,X,X,,
Churned Vanilla,scround,Creamy Vanilla Flavored Reduced Fat Ice Cream,"INGREDIENTS: BUTTERMilk, NONFAT Milk, SUGAR, CREAM, CARAMEL SWIRL [CORN SYRUP, WATER, SWEETENED CONDENSED Milk (CONDENSED Milk, SUGAR), SUGAR, SWEETENED CONDENSED SKIM Milk, (CONDENSED SKIM Milk, SUGAR), CORN STARCH - MODIFIED, SODIUM ALGINATE, SALT, SODIUM BICARBONATE], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CARAMEL COLOR], ANNATTO EXTRACT (COLOR). CONTAINS: Milk.",Milk,9,2/3  cup (89g),160,,5g,,6%,,3.5g,,18%,,0g,,0%,,20mg,,0%,,75mg,,0%,,24g,,0%,,0g,,0%,,18g,,11g,,0%,,3g,,0%,,0mg,,0%,,117mg,,0%,,0mg,,0%,,192mg,,0%,,,,,,,,,x,,,,,,,,,,,,,,x,X,X,,
Churned Caramel Swirl,scround,Creamy Vanilla Flavored Reduced Fat Ice Cream With A Caramel Swirl,"INGREDIENTS: BUTTERMilk, NONFAT Milk, SUGAR, CREAM, CARAMEL SWIRL [CORN SYRUP, WATER, SWEETENED CONDENSED Milk (CONDENSED Milk, SUGAR), SUGAR, SWEETENED CONDENSED SKIM Milk (CONDENSED SKIM Milk, SUGAR), MODIFIED CORN STARCH, SODIUM ALGINATE, SALT,
SODIUM BICARBONATE], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CARAMEL COLOR], ANNATTO EXTRACT (COLOR). CONTAINS: Milk.",Milk,9,2/3  cup (96g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,20mg,,0%,,95mg,,0%,,29g,,0%,,0g,,0%,,22g,,16g,,0%,,3g,,0%,,0mg,,0%,,120mg,,0%,,0mg,,0%,,198mg,,0%,,,,,,,,,x,,,,,,x,,,,,,,,x,X,X,,
Churned Mint N Fudge ,scround,Creamy Mint Flavored Reduced Fat Ice Cream with a Chocolate Fudge Swirl,"INGREDIENTS: BUTTERMilk, NONFAT Milk, SUGAR, CREAM, CHOCOLATE FLAVORED FUDGE [CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, MODIFIED CORN STARCH, SALT, VANILLA EXTRACT, SKIM Milk], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], NATURAL FLAVOR, MINT FLAVOR [NATURAL FLAVOR, CARAMEL COLOR], YELLOW 5 AND BLUE 1 (COLOR)"" CONTAINS: Milk""",Milk,9,2/3  cup (96g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,85mg,,0%,,30g,,0%,,0g,,0%,,21g,,15g,,0%,,3g,,0%,,0mg,,0%,,111mg,,0%,,0mg,,0%,,208mg,,0%,,,,,,,,,x,,,,,,,x,,,,x,x,,,X,X,,
Churned Strawberry ,scround,Creamy Strawberry Flavored Reduced Fat Ice Cream with Pieces of Strawberry ,"INGREDIENTS: BUTTERMilk, NONFAT Milk, SUGAR, CREAM, STRAWBERRIES [STRAWBERRIES, SUGAR, LOCUST BEAN GUM, CITRIC ACID, XANTHAN GUM], STRAWBERRIES [STRAWBERRIES, HIGH FRUCTOSE CORN SYRUP, WATER, SUGAR, MODIFIED CORN STARCH, CITRIC ACID, RED 40 (COLOR)], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STRAWBERRY FLAVOR [NATURAL FLAVORS, WATER, CITRIC ACID, RED 40 (COLOR)], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], CITRIC ACID, RED 40 AND BLUE 1
(COLOR). CONTAINS: Milk.",Milk,9,2/3  cup (95g),180,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,70mg,,0%,,26g,,0%,,0g,,0%,,20g,,14g,,0%,,3g,,0%,,0mg,,0%,,105mg,,0%,,0mg,,0%,,186mg,,0%,,,,,,,,,x,,,,,,,,,,x,,,,,X,X,,
Lemon Sherbet,three_gallon,Lemon Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, LEMON PUREE CONCENTRATE [WATER, LEMON PULP, LEMON JUICE CONCENTRATE, CORN SYRUP, NATURAL FLAVOR], WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], YELLOW 5",Milk,72,2/3  cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,35g,,0%,,0g,,0%,,27G,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,69mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Orange Sherbet,three_gallon,Orange Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, ORANGE FLAVOR CONCENTRATE [WATER, CONCENTRATED ORANGE JUICE, ORANGE PULP, ORANGE PEEL, CITRIC ACID, NATURAL FLAVOR, MODIFIED CORN STARCH, YELLOW 6 (COLOR), BHA (TO PROTECT FLAVOR)], CREAM, WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], INVERT SUGAR, NATURAL FLAVOR. ",Milk,72,2/3  cup (114g),160,,1.5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,24g,,0%,,1g,,0%,,0mg,,0%,,47mg,,0%,,0mg,,0%,,77mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Pineapple Sherbet,three_gallon,Pineapple Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, PINEAPPLE PUREE [PINEAPPLE JUICE CONCENTRATE, WATER, PINEAPPLE, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, POLYSORBATE 80, YELLOW 5], PINEAPPLE FLAVOR [PINEAPPLE JUICE, WATER, GUM TRAGACANTH, ARTIFICIAL FLAVOR, CITRIC ACID, YELLOW 5 (COLOR)], WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], CITRIC ACID, YELLOW 5 AND YELLOW 6 (COLOR)",Milk,72,2/3  cup (114g),160,,2g,,3%,,2g,,3%,,0g,,0%,,5mg,,0%,,30mg,,0%,,36g,,0%,,0g,,0%,,28g,,24g,,0%,,1g,,0%,,0mg,,0%,,47mg,,0%,,0mg,,0%,,77mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
Rainbow Sherbet,three_gallon,"Lime, Orange and Raspberry Flavored Sherbets Swirled Together","NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, ORANGE PUREE CONCENTRATE[WATER,ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], LIME PUREE CONCENTRATE [WATER, CONCENTRATED LIME JUICE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 5 AND BLUE 1 (COLOR), CITRIC ACID], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURAL AND ARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED RASPBERRY FLAVOR [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMEL COLOR, RED 40, BLUE 1, YELLOW 5 & 6, (COLOR)].",Milk,72,2/3  cup (114g),160,,2g,,3%,,1g,,5%,,0g,,0%,,5mg,,0%,,30mg,,0%,,35g,,0%,,0g,,0%,,27g,,25g,,1%,,1g,,0%,,0mg,,0%,,46mg,,0%,,0mg,,0%,,70mg,,0%,,,,,,x,,,,,,,,,,,,,x,,,,,X,X,,
